rank,lemma,pos,frequency,article,gender,genitive,plural,auxiliary,past_3sg,participle_ii,translation,cefr,theme
1545,Schuld,NOUN,5344,die,f,Schuld,Schulden,,,,the guilt,B1,emotions
1546,Botschaft,NOUN,5344,die,f,Botschaft,Botschaften,,,,the message,B1,communication
1547,hinein,ADP,5343,,,,,,,,into,B1,function_words
1548,normal,ADJ,5342,,,,,,,,normal,A2,common_adjectives
1549,blöde,ADJ,5337,,,,,,,,stupid,B1,common_adjectives
1550,berichten,VERB,5330,,,,,haben,berichtete,berichtet,to report,B1,common_verbs
1551,durchmachen,VERB,5318,,,,,haben,machte durch,durchgemacht,to go through,B1,common_verbs
1552,komplett,ADV,5308,,,,,,,,completely,B1,function_words
1553,Ratte,NOUN,5302,die,f,Ratte,Ratten,,,,the rat,A1,nature
1554,Geheimnis,NOUN,5301,das,n,Geheimnisses,Geheimnisse,,,,the secret,B1,communication
1555,Joey,NOUN,5299,,,,,,,,Joey,A1,family
1556,Aufmerksamkeit,NOUN,5297,die,f,Aufmerksamkeit,Aufmerksamkeiten,,,,the attention,B1,emotions
1557,einsperren,VERB,5294,,,,,haben,sperrte ein,eingesperrt,to lock up,B1,common_verbs
1558,pfeifen,VERB,5294,,,,,haben,pfiff,gepfiffen,to whistle,B1,common_verbs
1559,umsonst,ADV,5283,,,,,,,,for free,B1,function_words
1560,nirgendwo,ADV,5268,,,,,,,,nowhere,B1,function_words
1561,möglich,ADJ,5264,,,,,,,,possible,A2,common_adjectives
1562,Meile,NOUN,5260,die,f,Meile,Meilen,,,,the mile,B1,travel
1563,Mond,NOUN,5253,der,m,Mondes,Monde,,,,the moon,A2,nature
1564,Datum,NOUN,5246,das,n,Datums,Daten,,,,the data,B1,technology
1565,Schande,NOUN,5235,die,f,Schande,Schanden,,,,the shame,B2,emotions
1566,Jenny,NOUN,5231,,,,,,,,Jenny,A1,family
1567,Sieg,NOUN,5231,der,m,Sieges,Siege,,,,the victory,B1,sports
1568,satt,ADV,5229,,,,,,,,full,A2,food_drink
1569,Blödsinn,NOUN,5227,der,m,Blödsinns,Blödsinn,,,,the nonsense,B1,communication
1570,Adam,NOUN,5226,,,,,,,,Adam,A1,family
1571,Pfund,NOUN,5223,das,n,Pfunds,Pfunde,,,,the pound,A2,numbers
1572,irren,VERB,5210,,,,,haben,irrte,geirrt,to err,B1,common_verbs
1573,Übersetzung,NOUN,5207,die,f,Übersetzung,Übersetzungen,,,,the translation,B1,education
1574,Kunst,NOUN,5207,die,f,Kunst,Künste,,,,the art,A2,education
1575,ablehnen,VERB,5205,,,,,haben,lehnte ab,abgelehnt,to reject,B1,common_verbs
1576,Kapitän,NOUN,5200,der,m,Kapitäns,Kapitäne,,,,the captain,B1,work
1577,desto,ADV,5200,,,,,,,,the (in comparatives),B1,function_words
1578,Steuer,NOUN,5199,die,f,Steuer,Steuern,,,,the tax,B1,money
1579,wunderbar,ADJ,5197,,,,,,,,wonderful,A2,common_adjectives
1580,Schatten,NOUN,5188,der,m,Schattens,Schatten,,,,the shadow,B1,nature
1581,senden,VERB,5185,,,,,haben,sandte,gesendet,to send,A2,common_verbs
1582,Schlange,NOUN,5183,die,f,Schlange,Schlangen,,,,the snake,A2,nature
1583,Tatsache,NOUN,5181,die,f,Tatsache,Tatsachen,,,,the fact,B1,communication
1584,telefonieren,VERB,5180,,,,,haben,telefonierte,telefoniert,to telephone,A2,communication
1585,Stock,NOUN,5178,der,m,Stocks,Stöcke,,,,the stick,B1,home
1586,ausmachen,VERB,5177,,,,,haben,machte aus,ausgemacht,to switch off,A2,common_verbs
1587,leer,ADJ,5176,,,,,,,,empty,A2,common_adjectives
1588,bestrafen,VERB,5170,,,,,haben,bestrafte,bestraft,to punish,B1,common_verbs
1589,Anzug,NOUN,5163,der,m,Anzugs,Anzüge,,,,the suit,A2,clothing
1590,Leiche,NOUN,5162,die,f,Leiche,Leichen,,,,the corpse,B2,body_health
1591,eifersüchtig,ADJ,5160,,,,,,,,jealous,B1,emotions
1592,Truppe,NOUN,5150,die,f,Truppe,Truppen,,,,the troop,B2,work
1593,Freitag,NOUN,5148,der,m,Freitags,Freitage,,,,the Friday,A1,time
1594,geben,VERB,5126,,,,,haben,gab,gegeben,to give,A1,common_verbs
1595,Theater,NOUN,5123,das,n,Theaters,Theater,,,,the theatre,A2,education
1596,Dreck,NOUN,5120,der,m,Drecks,Drecke,,,,the dirt,A2,home
1597,reißen,VERB,5117,,,,,haben,riss,gerissen,to tear,B1,common_verbs
1598,Mühe,NOUN,5114,die,f,Mühe,Mühen,,,,the effort,B1,emotions
1599,scharf,ADJ,5114,,,,,,,,sharp,B1,common_adjectives
1600,sparen,VERB,5111,,,,,haben,sparte,gespart,to save,A2,money
1601,locker,ADV,5109,,,,,,,,"loosely, casually",B1,common_adjectives
1602,Knochen,VERB,5104,,,,,haben,knochte,geknocht,to bone,B2,food_drink
1603,schick,ADV,5102,,,,,,,,"elegantly, stylishly",B1,clothing
1604,Grab,NOUN,5097,das,n,Grabes,Gräber,,,,the grave,B1,nature
1605,ebenso,ADV,5095,,,,,,,,"equally, likewise",B1,function_words
1606,Nachbar,NOUN,5091,der,m,Nachbarn,Nachbarn,,,,the neighbour,A1,home
1607,durchsuchen,VERB,5087,,,,,haben,durchsuchte,durchsucht,to search through,B1,common_verbs
1608,Motor,NOUN,5086,der,m,Motors,Motoren,,,,the motor,A2,technology
1609,bestes,ADJ,5085,,,,,,,,best,A1,common_adjectives
1610,verlassen,VERB,5077,,,,,haben,verließ,verlassen,to leave,A2,common_verbs
1611,dennoch,ADV,5072,,,,,,,,"nevertheless, still",B1,function_words
1612,Stuhl,NOUN,5062,der,m,Stuhls,Stühle,,,,the chair,A1,home
1613,drehen,VERB,5061,,,,,haben,drehte,gedreht,to turn,A2,common_verbs
1614,opfern,VERB,5061,,,,,haben,opferte,geopfert,to sacrifice,B1,emotions
1615,schick,ADJ,5059,,,,,,,,"elegant, stylish",B1,clothing
1616,trotz,ADP,5054,,,,,,,,despite,A2,function_words
1617,Gast,NOUN,5053,der,m,Gastes,Gäste,,,,the guest,A2,food_drink
1618,Bauer,NOUN,5052,der,m,Bauern,Bauern,,,,the farmer,A2,work
1619,interessieren,VERB,5050,,,,,haben,interessierte,interessiert,to interest,A2,emotions
1620,waschen,VERB,5047,,,,,haben,wusch,gewaschen,to wash,A1,common_verbs
1621,aufbauen,VERB,5038,,,,,haben,baute auf,aufgebaut,to build up,B1,common_verbs
1622,Aufnahme,NOUN,5033,die,f,Aufnahme,Aufnahmen,,,,"the recording, reception",B1,technology
1623,scheiden,VERB,5033,,,,,sein,schied,geschieden,"to divorce, to separate",B1,family
1624,Jude,NOUN,5031,der,m,Juden,Juden,,,,the Jew,A2,communication
1625,verschwenden,VERB,5027,,,,,haben,verschwendete,verschwendet,to waste,B1,common_verbs
1626,Stich,NOUN,5026,der,m,Stichs,Stiche,,,,the stab/sting,B1,body_health
1627,beeindrucken,VERB,5021,,,,,haben,beeindruckte,beeindruckt,to impress,B1,emotions
1628,bewusst,ADV,5020,,,,,,,,consciously/deliberately,B1,function_words
1629,Fahrer,NOUN,5016,der,m,Fahrers,Fahrer,,,,the driver,A1,travel
1630,Größe,NOUN,5015,die,f,Größe,Größen,,,,the size,A2,common_adjectives
1631,ausziehen,VERB,5014,,,,,haben,zog aus,ausgezogen,to undress/move out,A2,clothing
1632,Aussage,NOUN,5010,die,f,Aussage,Aussagen,,,,the statement,B1,communication
1633,Jahrhundert,NOUN,5003,das,n,Jahrhunderts,Jahrhunderte,,,,the century,B1,time
1634,vergehen,VERB,5002,,,,,sein,verging,vergangen,to pass/elapse,B1,time
1635,Theorie,NOUN,4995,die,f,Theorie,Theorien,,,,the theory,B1,education
1636,Zahn,NOUN,4991,der,m,Zahns,Zähne,,,,the tooth,A1,body_health
1637,streichen,VERB,4989,,,,,haben,strich,gestrichen,to paint/stroke,A2,common_verbs
1638,empfinden,VERB,4986,,,,,haben,empfand,empfunden,to feel,B1,emotions
1639,helfen,VERB,4985,,,,,haben,half,geholfen,to help,A1,common_verbs
1640,Regen,NOUN,4981,der,m,Regens,Regen,,,,the rain,A1,nature
1641,schassen,VERB,4974,,,,,haben,schass,geschasst,to chase away,B2,common_verbs
1642,Sünde,NOUN,4973,die,f,Sünde,Sünden,,,,the sin,B1,emotions
1643,Medikament,NOUN,4968,das,n,Medikaments,Medikamente,,,,the medicine,A2,body_health
1644,Maus,NOUN,4967,die,f,Maus,Mäuse,,,,the mouse,A1,nature
1645,dicht,ADV,4962,,,,,,,,densely/close,B1,common_adjectives
1646,Panik,NOUN,4961,die,f,Panik,Paniken,,,,the panic,B1,emotions
1647,Flughafen,NOUN,4960,der,m,Flughafens,Flughäfen,,,,the airport,A2,travel
1648,Deutsch,NOUN,4958,das,n,Deutsch,Deutsch,,,,German (language),A1,education
1649,mehrere,PRON,4956,,,,,,,,several,A2,function_words
1650,lebendig,ADV,4956,,,,,,,,alive/lively,B1,common_adjectives
1651,verwirren,ADV,4956,,,,,,,,confusingly,B1,emotions
1652,voraus,ADP,4953,,,,,,,,ahead,B1,function_words
1653,selten,ADV,4952,,,,,,,,rarely,A2,common_adjectives
1654,sterben,VERB,4948,,,,,sein,starb,gestorben,to die,A2,common_verbs
1655,sollen,VERB,4941,,,,,haben,sollte,gesollt,"shall, should",A1,common_verbs
1656,Talent,NOUN,4936,das,n,Talents,Talente,,,,the talent,B1,education
1657,einander,PRON,4935,,,,,,,,each other,A2,function_words
1658,abnehmen,VERB,4934,,,,,haben,nahm ab,abgenommen,"to lose weight, to decrease",A2,body_health
1659,weiterhin,ADV,4925,,,,,,,,"furthermore, still",B1,function_words
1660,bilden,VERB,4922,,,,,haben,bildete,gebildet,"to form, to educate",B1,education
1661,selber,PRON,4914,,,,,,,,"self, oneself",A2,function_words
1662,Artikel,NOUN,4914,der,m,Artikels,Artikel,,,,the article,B1,communication
1663,Alkohol,NOUN,4903,der,m,Alkohols,Alkohole,,,,the alcohol,A2,food_drink
1664,verrücken,VERB,4902,,,,,haben,verrückte,verrückt,"to move, to displace",B1,common_verbs
1665,ich,PRON,4902,,,,,,,,I,A1,function_words
1666,brav,ADV,4901,,,,,,,,"well-behaved, brave",B1,common_adjectives
1667,fordern,VERB,4888,,,,,haben,forderte,gefordert,"to demand, to require",B1,common_verbs
1668,Harvey,VERB,4879,,,,,,,,"Harvey (proper noun, not a verb)",C1,communication
1669,Post,NOUN,4873,die,f,Post,Posten,,,,"the post office, the mail",A2,communication
1670,aufgeregt,ADV,4868,,,,,,,,"excitedly, excited",A2,emotions
1671,anschauen,VERB,4867,,,,,haben,schaute an,angeschaut,to look at,A1,common_verbs
1672,Selbstmord,NOUN,4866,der,m,Selbstmords,Selbstmorde,,,,the suicide,B2,body_health
1673,Dumme,NOUN,4866,der,m,Dummen,Dummen,,,,"the fool, the stupid one",B1,common_adjectives
1674,trainieren,VERB,4866,,,,,haben,trainierte,trainiert,to train,A2,sports
1675,irgendein,PRON,4858,,,,,,,,"some, any",B1,function_words
1676,Magie,NOUN,4855,die,f,Magie,Magien,,,,the magic,B1,emotions
1677,verbergen,VERB,4854,,,,,haben,verbarg,verborgen,to hide,B1,common_verbs
1678,Killer,NOUN,4848,der,m,Killers,Killer,,,,the killer,B1,emotions
1679,Flucht,NOUN,4844,die,f,Flucht,Fluchten,,,,the flight,B1,travel
1680,Offizier,NOUN,4838,der,m,Offiziers,Offiziere,,,,the officer,B1,work
1681,Gegenteil,NOUN,4837,das,n,Gegenteils,Gegenteile,,,,the opposite,B1,common_adjectives
1682,gratulieren,VERB,4831,,,,,haben,gratulierte,gratuliert,to congratulate,A2,communication
1683,üben,VERB,4831,,,,,haben,übte,geübt,to practice,A1,education
1684,schlimm,ADJ,4824,,,,,,,,bad,A2,common_adjectives
1685,wetten,VERB,4821,,,,,haben,wettete,gewettet,to bet,B1,common_verbs
1686,Angelegenheit,NOUN,4820,die,f,Angelegenheit,Angelegenheiten,,,,the matter,B1,work
1687,Trottel,NOUN,4819,der,m,Trottels,Trottel,,,,the idiot,B1,emotions
1688,sichern,VERB,4819,,,,,haben,sicherte,gesichert,to secure,B1,common_verbs
1689,deutlich,ADJ,4818,,,,,,,,clear,B1,common_adjectives
1690,immerhin,ADV,4813,,,,,,,,after all,B1,function_words
1691,beschreiben,VERB,4805,,,,,haben,beschrieb,beschrieben,to describe,A2,common_verbs
1692,erfreuen,VERB,4804,,,,,haben,erfreute,erfreut,to delight,B1,emotions
1693,innerhalb,ADP,4801,,,,,,,,within,B1,function_words
1694,matt,ADJ,4801,,,,,,,,dull,B1,common_adjectives
1695,blind,ADJ,4799,,,,,,,,blind,A2,body_health
1696,bereuen,VERB,4796,,,,,haben,bereute,bereut,to regret,B1,emotions
1697,schlau,ADJ,4792,,,,,,,,clever,A2,common_adjectives
1698,Affe,NOUN,4789,der,m,Affen,Affen,,,,the monkey,A1,nature
1699,drohen,VERB,4787,,,,,haben,drohte,gedroht,to threaten,B1,common_verbs
1700,spielen,VERB,4782,,,,,haben,spielte,gespielt,to play,A1,sports
1701,zuletzt,ADV,4780,,,,,,,,"lastly, finally",B1,time
1702,englisch,ADV,4778,,,,,,,,in English,A1,communication
1703,abgeben,VERB,4776,,,,,haben,gab ab,abgegeben,"to hand in, to submit",B1,common_verbs
1704,interessant,ADJ,4767,,,,,,,,interesting,A1,common_adjectives
1705,ignorieren,VERB,4762,,,,,haben,ignorierte,ignoriert,to ignore,B1,common_verbs
1706,schämen,VERB,4761,,,,,haben,schämte,geschämt,to be ashamed,B1,emotions
1707,knapp,ADV,4759,,,,,,,,"barely, scarcely",B1,function_words
1708,merkwürdig,ADV,4756,,,,,,,,"strangely, oddly",B1,common_adjectives
1709,begreifen,VERB,4751,,,,,haben,begriff,begriffen,"to understand, to grasp",B1,common_verbs
1710,auffallen,VERB,4750,,,,,sein,fiel auf,aufgefallen,"to stand out, to be noticeable",B1,common_verbs
1711,malen,VERB,4748,,,,,haben,malte,gemalt,"to paint, to draw",A2,common_verbs
1712,rechnen,VERB,4746,,,,,haben,rechnete,gerechnet,"to calculate, to count",A2,common_verbs
1713,Trick,NOUN,4745,der,m,Tricks,Tricks,,,,the trick,B1,common_verbs
1714,Doug,ADV,4742,,,,,,,,doug (not a standard German word),C1,function_words
1715,begraben,VERB,4741,,,,,haben,begrub,begraben,to bury,B1,common_verbs
1716,Rote,NOUN,4739,die,f,Roten,Roten,,,,the red (person or thing),B2,common_adjectives
1717,Sonntag,NOUN,4733,der,m,Sonntags,Sonntage,,,,the Sunday,A1,time
1718,garantieren,VERB,4725,,,,,haben,garantierte,garantiert,to guarantee,B1,common_verbs
1719,Reinkommen,NOUN,4723,das,n,Reinkommens,Reinkommens,,,,"the coming in, the income",B2,money
1720,Unterstützung,NOUN,4721,die,f,Unterstützung,Unterstützungen,,,,"the support, the assistance",B1,work
1721,Rechnung,NOUN,4719,die,f,Rechnung,Rechnungen,,,,"the bill, the invoice",A2,money
1722,jener,PRON,4719,,,,,,,,"that, that one",B1,function_words
1723,benötigen,VERB,4718,,,,,haben,benötigte,benötigt,"to need, to require",A2,common_verbs
1724,achten,VERB,4711,,,,,haben,achtete,geachtet,"to respect, to pay attention",B1,common_verbs
1725,möglicherweise,ADV,4709,,,,,,,,"possibly, perhaps",B1,function_words
1726,definitiv,ADV,4707,,,,,,,,definitely,B1,function_words
1727,Ed,NOUN,4703,,,,,,,,Ed (name),A1,communication
1728,Vincent,VERB,4702,,,,,,,,Vincent (not a standard verb),A1,communication
1729,Gebiet,NOUN,4702,das,n,Gebietes,Gebiete,,,,the area,B1,nature
1730,Priester,NOUN,4698,der,m,Priesters,Priester,,,,the priest,B1,work
1731,abends,ADV,4696,,,,,,,,in the evening,A1,time
1732,gelingen,VERB,4695,,,,,sein,gelang,gelungen,to succeed,B1,common_verbs
1733,wenden,VERB,4691,,,,,haben,wandte,gewandt,to turn,B1,common_verbs
1734,Kohle,NOUN,4689,die,f,Kohle,Kohlen,,,,the coal,B1,nature
1735,fangen,VERB,4689,,,,,haben,fing,gefangen,to catch,A2,common_verbs
1736,Cousin,NOUN,4685,der,m,Cousins,Cousins,,,,the cousin,A1,family
1737,einsam,ADV,4683,,,,,,,,lonely,A2,emotions
1738,löschen,VERB,4683,,,,,haben,löschte,gelöscht,to delete,B1,common_verbs
1739,heiligen,VERB,4677,,,,,haben,heiligte,geheiligt,to sanctify,B2,common_verbs
1740,ebenfalls,ADV,4672,,,,,,,,likewise,B1,function_words
1741,binden,VERB,4667,,,,,haben,band,gebunden,to tie,A2,common_verbs
1742,jederzeit,ADV,4662,,,,,,,,at any time,B1,time
1743,Mittel,NOUN,4640,das,n,Mittels,Mittel,,,,the means,B1,common_verbs
1744,wundervoll,ADV,4639,,,,,,,,wonderfully,B1,common_adjectives
1745,testen,VERB,4639,,,,,haben,testete,getestet,to test,B1,common_verbs
1746,Prozent,NOUN,4629,das,n,Prozents,Prozente,,,,the percent,A2,numbers
1747,präsentieren,VERB,4627,,,,,haben,präsentierte,präsentiert,to present,B1,common_verbs
1748,Hoheit,NOUN,4622,die,f,Hoheit,Hoheiten,,,,the majesty,B2,work
1749,früh,ADJ,4619,,,,,,,,early,A1,time
1750,Stern,NOUN,4611,der,m,Sterns,Sterne,,,,the star,A2,nature
1751,Zugang,NOUN,4610,der,m,Zugangs,Zugänge,,,,the access,B1,work
1752,Station,NOUN,4610,die,f,Station,Stationen,,,,the station,A2,travel
1753,Bühne,NOUN,4609,die,f,Bühne,Bühnen,,,,the stage,B1,work
1754,Verlust,NOUN,4604,der,m,Verlusts,Verluste,,,,the loss,B1,money
1755,vorn,ADV,4601,,,,,,,,in front,A2,function_words
1756,Erlaubnis,NOUN,4592,die,f,Erlaubnis,Erlaubnisse,,,,the permission,B1,work
1757,großartig,ADJ,4591,,,,,,,,magnificent,B1,common_adjectives
1758,Beruf,NOUN,4587,der,m,Berufs,Berufe,,,,the profession,A2,work
1759,Lügner,NOUN,4586,der,m,Lügners,Lügner,,,,the liar,B1,communication
1760,Beerdigung,NOUN,4585,die,f,Beerdigung,Beeerdigungen,,,,the funeral,B1,family
1761,Schauspieler,NOUN,4575,der,m,Schauspielers,Schauspieler,,,,the actor,A2,work
1762,kündigen,VERB,4565,,,,,haben,kündigte,gekündigt,to terminate,B1,work
1763,inzwischen,ADV,4557,,,,,,,,meanwhile,B1,function_words
1764,ausgeben,VERB,4556,,,,,haben,gab aus,ausgegeben,to spend,A2,money
1765,Presse,NOUN,4548,die,f,Presse,Pressen,,,,the press,B1,communication
1766,fein,ADJ,4541,,,,,,,,fine,A2,common_adjectives
1767,Geduld,NOUN,4537,die,f,Geduld,Gedulden,,,,the patience,B1,emotions
1768,erheben,VERB,4537,,,,,haben,erhob,erhoben,to raise,B1,common_verbs
1769,aussuchen,VERB,4527,,,,,haben,suchte aus,ausgesucht,to choose,A2,common_verbs
1770,Gerechtigkeit,NOUN,4524,die,f,Gerechtigkeit,Gerechtigkeiten,,,,the justice,B2,emotions
1771,Anruf,NOUN,4518,der,m,Anrufs,Anrufe,,,,the call,A2,communication
1772,Medizin,NOUN,4502,die,f,Medizin,Medizinen,,,,the medicine,A2,body_health
1773,Prozess,NOUN,4499,der,m,Prozesses,Prozesse,,,,the process,B1,work
1774,schieben,VERB,4495,,,,,haben,schob,geschoben,to push,A2,common_verbs
1775,Samstag,NOUN,4494,der,m,Samstags,Samstage,,,,the Saturday,A1,time
1776,respektieren,VERB,4489,,,,,haben,respektierte,respektiert,to respect,B1,communication
1777,Chaos,NOUN,4482,das,n,Chaos,Chaoten,,,,the chaos,B1,common_adjectives
1778,Schönheit,NOUN,4482,die,f,Schönheit,Schönheiten,,,,the beauty,B1,emotions
1779,Schritt,VERB,4481,,,,,haben,schritt,geschritten,to stride,B1,common_verbs
1780,Werk,NOUN,4481,das,n,Werkes,Werke,,,,the work,B1,work
1781,Gift,NOUN,4477,das,n,Giftes,Gifte,,,,the poison,B1,body_health
1782,erschaffen,VERB,4476,,,,,haben,erschuf,erschaffen,to create,B2,common_verbs
1783,beinahe,ADV,4471,,,,,,,,almost,A2,function_words
1784,leben,AUX,4468,,,,,haben,lebte,gelebt,to live,A1,common_verbs
1785,mächtig,ADJ,4467,,,,,,,,powerful,B1,common_adjectives
1786,toll,PRON,4466,,,,,,,,great,A2,function_words
1787,Fremde,NOUN,4463,die,f,Fremde,Fremden,,,,the foreign country,B1,travel
1788,Norden,NOUN,4457,der,m,Nordens,Norden,,,,the north,A2,nature
1789,Dingen,NOUN,4454,die,f,Dinge,Dinge,,,,the things,A1,function_words
1790,seltsam,ADJ,4448,,,,,,,,strange,B1,common_adjectives
1791,Kiste,ADJ,4445,,,,,,,,box,A2,home
1792,Teil,VERB,4443,,,,,haben,teilte,geteilt,to share,A2,common_verbs
1793,Leitung,NOUN,4443,die,f,Leitung,Leitungen,,,,the management,B1,work
1794,Deckung,NOUN,4439,die,f,Deckung,Deckungen,,,,the cover,B2,sports
1795,versetzen,VERB,4437,,,,,haben,versetzte,versetzt,to move,B1,common_verbs
1796,Alarm,NOUN,4422,der,m,Alarms,Alarme,,,,the alarm,B1,technology
1797,Verrat,VERB,4422,,,,,hat,verriet,verraten,to betray,B2,common_verbs
1798,extra,ADV,4409,,,,,,,,extra,A2,function_words
1799,Entspannung,NOUN,4409,die,f,Entspannung,Entspannungen,,,,the relaxation,B1,emotions
1800,Eindruck,NOUN,4406,der,m,Eindrucks,Eindrücke,,,,the impression,A2,emotions
1801,befürchten,VERB,4404,,,,,haben,befürchtete,befürchtet,to fear,B1,emotions
1802,nähern,VERB,4403,,,,,haben,näherte,genähert,to approach,B1,common_verbs
1803,unschuldig,ADJ,4401,,,,,,,,innocent,B1,common_adjectives
1804,wehtun,VERB,4396,,,,,haben,tat weh,wehgetan,to hurt,A2,body_health
1805,rausfinden,VERB,4396,,,,,haben,fand raus,rausgefunden,to find out,A2,common_verbs
1806,Herrgott,NOUN,4388,der,m,Herrgotts,Herrgötter,,,,the Lord God,B1,communication
1807,Anweisung,NOUN,4387,die,f,Anweisung,Anweisungen,,,,the instruction,B1,work
1808,Nacken,NOUN,4377,der,m,Nackens,Nacken,,,,the nape,B1,body_health
1809,Montag,NOUN,4364,der,m,Montags,Montage,,,,the Monday,A1,time
1810,perfektionieren,VERB,4364,,,,,haben,perfektionierte,perfektioniert,to perfect,B2,common_verbs
1811,begrüßen,VERB,4364,,,,,haben,begrüßte,begrüßt,to greet,A2,greetings
1812,erzählen,VERB,4363,,,,,haben,erzählte,erzählt,to tell,A1,communication
1813,segnen,VERB,4360,,,,,haben,segnete,gesegnet,to bless,B1,emotions
1814,schlecht,ADJ,4355,,,,,,,,bad,A1,common_adjectives
1815,Hank,NOUN,4355,der,m,Hanks,Hanks,,,,the hank,B1,nature
1816,Geburt,NOUN,4353,die,f,Geburt,Geburten,,,,the birth,A2,body_health
1817,verabschieden,VERB,4348,,,,,haben,verabschiedete,verabschiedet,to say goodbye,B1,greetings
1818,einfach,ADJ,4346,,,,,,,,simple,A1,common_adjectives
1819,offiziell,ADJ,4345,,,,,,,,official,B1,common_adjectives
1820,kriegen,VERB,4340,,,,,haben,kriegte,gekriegt,to get,A1,common_verbs
1821,Freundschaft,NOUN,4334,die,f,Freundschaft,Freundschaften,,,,the friendship,A2,family
1822,explodieren,VERB,4331,,,,,sein,explodierte,explodiert,to explode,B1,common_verbs
1823,vögeln,VERB,4323,,,,,haben,vögelte,gevögelt,to have sex,C1,common_verbs
1824,Schnauze,NOUN,4320,die,f,Schnauze,Schnauzen,,,,the snout,B1,body_health
1825,beleidigen,VERB,4314,,,,,haben,beleidigte,beleidigt,to insult,B1,emotions
1826,jedoch,ADV,4312,,,,,,,,however,B1,function_words
1827,ächzen,VERB,4306,,,,,haben,ächzte,geächzt,to groan,B2,emotions
1828,Verräter,NOUN,4304,der,m,Verräters,Verräter,,,,the traitor,B1,communication
1829,Prost,NOUN,4302,das,n,Prosts,Prosts,,,,cheers,A2,food_drink
1830,beschissen,ADJ,4300,,,,,,,,shitty,B2,common_adjectives
1831,aktivieren,VERB,4299,,,,,haben,aktivierte,aktiviert,to activate,B1,technology
1832,Brust,NOUN,4296,die,f,Brust,Brüste,,,,the breast,A2,body_health
1833,Kleider,NOUN,4292,die,f,Kleider,Kleider,,,,the clothes,A2,clothing
1834,sicher,ADJ,4292,,,,,,,,safe,A2,common_adjectives
1835,Jacke,NOUN,4290,die,f,Jacke,Jacken,,,,the jacket,A1,clothing
1836,rühren,VERB,4288,,,,,haben,rührte,gerührt,to stir,A2,food_drink
1837,praktisch,ADV,4284,,,,,,,,practically,B1,function_words
1838,wild,ADV,4282,,,,,,,,wildly,A2,common_adjectives
1839,Schlafzimmer,NOUN,4271,das,n,Schlafzimmers,Schlafzimmer,,,,the bedroom,A1,home
1840,Kilometer,NOUN,4271,der,m,Kilometers,Kilometer,,,,the kilometre,A2,travel
1841,Vorschlag,NOUN,4268,der,m,Vorschlags,Vorschläge,,,,the suggestion,A2,communication
1842,meins,PRON,4266,,,,,,,,mine,A1,function_words
1843,komisch,ADJ,4264,,,,,,,,funny,A2,common_adjectives
1844,weggehen,VERB,4233,,,,,sein,wegging,weggegangen,to leave,A2,common_verbs
1845,finden,VERB,4232,,,,,haben,fand,gefunden,to find,A1,common_verbs
1846,Bedingung,NOUN,4231,die,f,Bedingung,Bedingungen,,,,the condition,B1,function_words
1847,Gerücht,NOUN,4230,das,n,Gerüchts,Gerüchte,,,,the rumour,B1,communication
1848,Einladung,NOUN,4226,die,f,Einladung,Einladungen,,,,the invitation,A2,communication
1849,verloben,VERB,4224,,,,,haben,verlobte,verlobt,to engage,B2,family
1850,Müll,NOUN,4223,der,m,Mülls,Mülle,,,,the garbage,A2,home
1851,Pille,NOUN,4223,die,f,Pille,Pillen,,,,the pill,B1,body_health
1852,Ermittlung,NOUN,4221,die,f,Ermittlung,Ermittlungen,,,,the investigation,B2,work
1853,Mitte,NOUN,4219,die,f,Mitte,Mitten,,,,the middle,A2,time
1854,unterbrechen,VERB,4215,,,,,haben,unterbrach,unterbrochen,to interrupt,B1,common_verbs
1855,Weg,NOUN,4207,der,m,Weges,Wege,,,,the way,A1,travel
1856,geben,VERB,4201,,,,,haben,gab,gegeben,to give,A1,common_verbs
1857,helfen,VERB,4197,,,,,haben,half,geholfen,to help,A1,common_verbs
1858,ausdrücken,VERB,4197,,,,,haben,drückte aus,ausgedrückt,to express,B1,communication
1859,Mittagessen,NOUN,4195,das,n,Mittagessens,Mittagessen,,,,the lunch,A1,food_drink
1860,heulen,VERB,4194,,,,,haben,heulte,geheult,to howl,B1,emotions
1861,Maske,NOUN,4192,die,f,Maske,Masken,,,,the mask,B1,clothing
1862,Ell,ADJ,4189,,,,,,,,ell,C1,numbers
1863,Abteilung,NOUN,4189,die,f,Abteilung,Abteilungen,,,,the department,B1,work
1864,Anführer,NOUN,4183,der,m,Anführers,Anführer,,,,the leader,B2,work
1865,blau,ADV,4180,,,,,,,,blue,A1,common_adjectives
1866,verdächtig,ADJ,4169,,,,,,,,suspicious,B1,common_adjectives
1867,Wetter,NOUN,4160,das,n,Wetters,Wetter,,,,the weather,A1,nature
1868,Hütte,NOUN,4160,die,f,Hütte,Hütten,,,,the hut,A2,home
1869,eröffnen,VERB,4160,,,,,haben,eröffnete,eröffnet,to open,B1,common_verbs
1870,schwul,ADV,4159,,,,,,,,gay,B1,common_adjectives
1871,ersetzen,VERB,4153,,,,,haben,ersetzte,ersetzt,to replace,B1,common_verbs
1872,Vorteil,NOUN,4152,der,m,Vorteils,Vorteile,,,,the advantage,B1,work
1873,Einheit,NOUN,4151,die,f,Einheit,Einheiten,,,,the unit,B1,numbers
